,,,,,,
"PERÍODO_LECTIVO TIPO_DE_PERÍODO_LECTIVO","ID","SIGLA","NOME","CURSO","REGENTE","RESPONSÁVEL"
"1º Sem",7694,"BF","Biofísica","Programa Doutoral em Engenharia Química e Bioquímica","Pedro Manuel Cardoso Vieira","Mário António Basto Forjaz Secca"
"1º Sem",7933,"BioA","Biologia Animal","Licenciatura em Biologia Celular e Molecular","Maria Luísa Faria de Castro de Castro e Lemos","Maria Helena Ferrão Ribeiro da Costa"
"1º Sem",7933,"BioA","Biologia Animal","Licenciatura em Ciências da Natureza","Maria Luísa Faria de Castro de Castro e Lemos","Maria Helena Ferrão Ribeiro da Costa"
"1º Sem",7622,"BC.a","Biologia Celular A","Licenciatura em Biologia Celular e Molecular","Nuno Alberto Fernandes Ferreira Neves","António José Cabrita Lucas Laires"
"1º Sem",7622,"BC.a","Biologia Celular A","Licenciatura em Ciências da Natureza","Nuno Alberto Fernandes Ferreira Neves","António José Cabrita Lucas Laires"
"1º Sem",3988,"BC.b","Biologia Celular B","Mestrado Integrado em Engenharia Biomédica","Margarida Casal Ribeiro Castro Caldas Braga","António José Cabrita Lucas Laires"
"1º Sem",7122,"BC.C","Biologia Celular C","Licenciatura em Bioquímica","António José Cabrita Lucas Laires","António José Cabrita Lucas Laires"
"1º Sem",7122,"BC.C","Biologia Celular C","Licenciatura em Química Aplicada","António José Cabrita Lucas Laires","António José Cabrita Lucas Laires"
"1º Sem",7636,"BD","Biologia do Desenvolvimento","Mestrado em Genética Molecular e Biomedicina","Fernando Manuel Santos Ferreira Henriques","Fernando Manuel Santos Ferreira Henriques"
"1º Sem",2704,"BCn","Biologia em Conservação","Mestrado em Ciências da  Conservação","Maria Filomena Meireles Abrantes de Macedo Dinis","Maria Filomena Meireles Abrantes de Macedo Dinis"
"1º Sem",2704,"BCn","Biologia em Conservação","Mestrado em Conservação e Restauro","Maria Filomena Meireles Abrantes de Macedo Dinis","Maria Filomena Meireles Abrantes de Macedo Dinis"
"1º Sem",7693,"BM.c","Biologia Molecular C","Mestrado Integrado em Engenharia Biomédica","Ilda Maria Barros dos Santos Gomes Sanches","Ilda Maria Barros dos Santos Gomes Sanches"
"1º Sem",7693,"BM.c","Biologia Molecular C","Mestrado Integrado em Engenharia de Micro e Nanotecnologias","Ilda Maria Barros dos Santos Gomes Sanches","Ilda Maria Barros dos Santos Gomes Sanches"
"1º Sem",5340,"Biom","Biomateriais","Mestrado em Biotecnologia","João Paulo Miranda Ribeiro Borges","Assis Farinha Martins"
"1º Sem",5340,"Biom","Biomateriais","Mestrado em Engenharia de Materiais","João Paulo Miranda Ribeiro Borges","Assis Farinha Martins"
"1º Sem",5340,"Biom","Biomateriais","Mestrado Integrado em Engenharia Biomédica","João Paulo Miranda Ribeiro Borges","Assis Farinha Martins"
"1º Sem",5340,"Biom","Biomateriais","Mestrado Integrado em Engenharia de Micro e Nanotecnologias","João Paulo Miranda Ribeiro Borges","Assis Farinha Martins"
"1º Sem",5340,"Biom","Biomateriais","Mestrado Integrado em Engenharia Física","João Paulo Miranda Ribeiro Borges","Assis Farinha Martins"
"1º Sem",5340,"Biom","Biomateriais","Mestrado Integrado em Engenharia Química e Bioquímica","João Paulo Miranda Ribeiro Borges","Assis Farinha Martins"
"1º Sem",5340,"Biom","Biomateriais","Programa Doutoral em Bioquímica","João Paulo Miranda Ribeiro Borges","Assis Farinha Martins"
"1º Sem",5340,"Biom","Biomateriais","Programa Doutoral em Ciência e Engenharia de Materiais","João Paulo Miranda Ribeiro Borges","Assis Farinha Martins"
"1º Sem",5340,"Biom","Biomateriais","Programa Doutoral em Engenharia Química e Bioquímica","João Paulo Miranda Ribeiro Borges","Assis Farinha Martins"
"1º Sem",5340,"Biom","Biomateriais","Programa Doutoral em Nanotecnologias e Nanociências","João Paulo Miranda Ribeiro Borges","Assis Farinha Martins"
"1º Sem",5340,"Biom","Biomateriais","Programa Doutoral em Química","João Paulo Miranda Ribeiro Borges","Assis Farinha Martins"
