,,,,,,
"PERÍODO_LECTIVO TIPO_DE_PERÍODO_LECTIVO","ID","SIGLA","NOME","CURSO","REGENTE","RESPONSÁVEL"
"2º Sem",8807,"SO","Síntese Orgânica","Programa Doutoral em Química","Ana Maria Félix Trindade Lobo","Ana Maria Félix Trindade Lobo"
"2º Sem",2549,"ScE","Sociologia da Educação","Mestrado em Ensino da Matemática","Mariana Teresa Gaio Alves","Mariana Teresa Gaio Alves"
"2º Sem",5345,"SPS","Solo e Poluição do Solo","Licenciatura em Ciências da Natureza","Alexandra de Jesus Branco Ribeiro","Isabel Maria Gonçalves Correia Sepúlveda"
"2º Sem",5345,"SPS","Solo e Poluição do Solo","Mestrado Integrado em Engenharia do Ambiente","Alexandra de Jesus Branco Ribeiro","Isabel Maria Gonçalves Correia Sepúlveda"
"2º Sem",3707,"SEI","Sócio-Economia da Inovação","Licenciatura em Engenharia Informática","António Paulo Brandão Moniz de Jesus","António Paulo Brandão Moniz de Jesus"
"2º Sem",3707,"SEI","Sócio-Economia da Inovação","Mestrado Integrado em Engenharia Electrotécnica e de Computadores","António Paulo Brandão Moniz de Jesus","António Paulo Brandão Moniz de Jesus"
"2º Sem",7954,"SEI A","Sócio-Economia da Inovação A","Licenciatura em Engenharia de Telecomunicações e Computadores","António Paulo Brandão Moniz de Jesus","António Paulo Brandão Moniz de Jesus"
"2º Sem",7954,"SEI A","Sócio-Economia da Inovação A","Mestrado em História e Património da Ciência, da Tecnologia e da Inovação","António Paulo Brandão Moniz de Jesus","António Paulo Brandão Moniz de Jesus"
"2º Sem",8516,"TR","Tarifação e Reservas","Mestrado em Matemática e Aplicações","Rui Manuel Rodrigues Cardoso","Manuel Leote Tavares Inglês Esquível"
"2º Sem",9757,"TAA","Tecnologia Alimentar Avançada","Programa Doutoral em Qualidade  Alimentar","Fernando José Cebola Lidon","Benilde Simões Mendes"
"2º Sem",8798,"TE","Tecnologia de Enzimas A","Licenciatura em Bioquímica","Ana Cecília Afonso Roque","Manuel José Teixeira Carrondo"
"2º Sem",8798,"TE","Tecnologia de Enzimas A","Licenciatura em Química Aplicada","Ana Cecília Afonso Roque","Manuel José Teixeira Carrondo"
"2º Sem",8798,"TE","Tecnologia de Enzimas A","Programa Doutoral em Engenharia Química e Bioquímica","Ana Cecília Afonso Roque","Manuel José Teixeira Carrondo"
"2º Sem",9380,"TR","Tecnologia de Revestimentos","Mestrado Integrado em Engenharia Civil","Fernando Farinha da Silva Pinho","Fernando Manuel Anjos Henriques"
"2º Sem",7487,"TM.2","Tecnologia dos Materiais II","Licenciatura em Engenharia de Materiais","Carlos Alberto Nunes de Carvalho","Elvira Maria Correia Fortunato"
"2º Sem",3657,"TM2","Tecnologia Mecânica II","Mestrado Integrado em Engenharia Mecânica","Jorge Joaquim Pamies Teixeira","Jorge Joaquim Pamies Teixeira"
"2º Sem",8300,"TIG","Tecnologias de Informação Geográfica","Mestrado em Engenharia Electrotécnica, Sistemas e Computadores","Maria Armanda Simenta Rodrigues Grueau","Luís Fernando Lopes Monteiro"
"2º Sem",8300,"TIG","Tecnologias de Informação Geográfica","Mestrado em Engenharia Informática","Maria Armanda Simenta Rodrigues Grueau","Luís Fernando Lopes Monteiro"
"2º Sem",8426,"TR","Tecnologias de Reabilitação","Mestrado em Engenharia Civil (Reabilitação de Edifícios)","Fernando Manuel Anjos Henriques","Fernando Manuel Anjos Henriques"
"2º Sem",3725,"TPQ","Tecnologias e Processos Químicos","Licenciatura em Química Aplicada","Isabel Maria de Figueiredo Ligeiro da Fonseca","Isabel Maria de Figueiredo Ligeiro da Fonseca"
"2º Sem",3725,"TPQ","Tecnologias e Processos Químicos","Mestrado Integrado em Engenharia e Gestão Industrial","Isabel Maria de Figueiredo Ligeiro da Fonseca","Isabel Maria de Figueiredo Ligeiro da Fonseca"
"2º Sem",8850,02/04/10,"Tecnologias em Energias Renováveis II - Integração e Utilização Sustentável","Mestrado em Energias Renováveis - Conversão Eléctrica e Utilização Sustentáveis","João Miguel Murta Pina","Mário Fernando Ventim Neves"
"2º Sem",7268,"TLQV","Tecnologias Limpas e Química Verde","Mestrado em Biotecnologia","Manuel Luís Magalhães Nunes da Ponte","Manuel Luís Magalhães Nunes da Ponte"
"2º Sem",7268,"TLQV","Tecnologias Limpas e Química Verde","Mestrado Integrado em Engenharia Química e Bioquímica","Manuel Luís Magalhães Nunes da Ponte","Manuel Luís Magalhães Nunes da Ponte"
"2º Sem",7268,"TLQV","Tecnologias Limpas e Química Verde","Programa Doutoral em Bioquímica","Manuel Luís Magalhães Nunes da Ponte","Manuel Luís Magalhães Nunes da Ponte"
"2º Sem",7268,"TLQV","Tecnologias Limpas e Química Verde","Programa Doutoral em Engenharia Química e Bioquímica","Manuel Luís Magalhães Nunes da Ponte","Manuel Luís Magalhães Nunes da Ponte"
"2º Sem",7268,"TLQV","Tecnologias Limpas e Química Verde","Programa Doutoral em Química","Manuel Luís Magalhães Nunes da Ponte","Manuel Luís Magalhães Nunes da Ponte"
"2º Sem",7334,"TD","Telecomunicações Distribuídas","Mestrado Integrado em Engenharia Electrotécnica e de Computadores","Rodolfo Alexandre Duarte Oliveira","Paulo da Costa Luís da Fonseca Pinto"
"2º Sem",8779,"TEG","Temas de Estruturas e Geotecnia","Mestrado em Engenharia Civil (Estruturas e Geotecnia)","António Segadães Madeira Tavares","António Segadães Madeira Tavares"
"2º Sem",8413,"TAA","Teoria Algébrica dos Autómatos","Mestrado em Engenharia Informática","Vitor Hugo Bento Dias Fernandes","Júlia Maria Nunes Loureiro Vaz de Carvalho"
"2º Sem",8413,"TAA","Teoria Algébrica dos Autómatos","Mestrado em Matemática e Aplicações","Vitor Hugo Bento Dias Fernandes","Júlia Maria Nunes Loureiro Vaz de Carvalho"
"2º Sem",2703,"TA","Teoria da Arte","Mestrado em Conservação e Restauro","Rita Andreia Silva Pinto de Macedo","Rita Andreia Silva Pinto de Macedo"
"2º Sem",3746,"TCE","Teoria de Circuitos Eléctricos","Mestrado Integrado em Engenharia Electrotécnica e de Computadores","Maria Helena Silva Fino","Maria Helena Silva Fino"
"2º Sem",3748,"TS","Teoria de Sinais","Mestrado em Engenharia Microelectrónica e Nanotecnologias","Adelino Rocha Ferreira da Silva","Manuel Duarte Ortigueira"
"2º Sem",3748,"TS","Teoria de Sinais","Mestrado Integrado em Engenharia de Micro e Nanotecnologias","Adelino Rocha Ferreira da Silva","Manuel Duarte Ortigueira"
"2º Sem",3748,"TS","Teoria de Sinais","Mestrado Integrado em Engenharia Electrotécnica e de Computadores","Adelino Rocha Ferreira da Silva","Manuel Duarte Ortigueira"
"2º Sem",8510,"TR","Teoria do Risco","Mestrado em Matemática e Aplicações","Rui Manuel Rodrigues Cardoso","Manuel Leote Tavares Inglês Esquível"
"2º Sem",3669,"TA","Termodinâmica Aplicada","Mestrado em Energias Renováveis - Conversão Eléctrica e Utilização Sustentáveis","Luís Miguel Chagas da Costa Gil","António Rafael Janeiro Borges"
"2º Sem",3669,"TA","Termodinâmica Aplicada","Mestrado Integrado em Engenharia Mecânica","Luís Miguel Chagas da Costa Gil","António Rafael Janeiro Borges"
"2º Sem",3787,"T","Termodinâmica B","Mestrado Integrado em Engenharia Física","João Paulo Lança Pinto Casquilho","João Paulo Lança Pinto Casquilho"
"2º Sem",9860,"TADS","Território, Ambiente e Desenvolvimento Sustentável","Programa Doutoral em Ambiente","Tomás Augusto Barros Ramos","João António Muralha Ribeiro Farinha"
"2º Sem",8758,"TD 2","Tese de Doutoramento 2","Programa Doutoral em Ciências da Educação","Mariana Teresa Gaio Alves","Mariana Teresa Gaio Alves"
"2º Sem",8760,"TD 4","Tese de Doutoramento 4","Programa Doutoral em Ciências da Educação","António Manuel Dias Domingos","António Manuel Dias Domingos"
"2º Sem",9560,"EFis","Técnicas Analíticas Nucleares","Programa Doutoral em Engenharia Física","Maria Adelaide de Almeida Pedro de Jesus","Maria Adelaide de Almeida Pedro de Jesus"
"2º Sem",9077,"TAGP","Técnicas Avançadas em Gestão de Projectos","Estudos Pós-Graduados em Gestão de Projectos","Alexandra Maria Batista Ramos Tenera","Virgílio António da Cruz Machado"
"2º Sem",7177,"TDTAR","Técnicas de Drenagem e Tratamento de Águas Residuais","Mestrado Integrado em Engenharia do Ambiente","Leonor Miranda Monteiro do Amaral","Fernando José Pires Santana"
"2º Sem",7177,"TDTAR","Técnicas de Drenagem e Tratamento de Águas Residuais","Mestrado Integrado em Engenharia Química e Bioquímica","Leonor Miranda Monteiro do Amaral","Fernando José Pires Santana"
"2º Sem",8143,"TLB II","Técnicas de Laboratório em Biologia II","Licenciatura em Biologia Celular e Molecular","Nuno Alberto Fernandes Ferreira Neves","Isabel Maria Godinho de Sá Nogueira"
"2º Sem",7160,"TLA","Técnicas Laboratoriais em Ambiente","Mestrado Integrado em Engenharia do Ambiente","Ana Lúcia Monteiro Durão Leitão","Benilde Simões Mendes"
"2º Sem",7702,"TGC","Topografia e Geologia de Campo","Licenciatura em Ciências da Natureza","José António de Almeida","José Carlos Ribeiro Kullberg"
"2º Sem",7702,"TGC","Topografia e Geologia de Campo","Licenciatura em Engenharia Geológica","José António de Almeida","José Carlos Ribeiro Kullberg"
"2º Sem",7819,"TIAF","Topologia e Introdução à Análise Funcional","Licenciatura em Matemática","Elvira Júlia Conceição Matias Coimbra","Elvira Júlia Conceição Matias Coimbra"
"2º Sem",7630,"TIA","Toxi-Infecções Alimentares","Mestrado em Genética Molecular e Biomedicina","José Paulo Nunes de Sousa Sampaio","José Paulo Nunes de Sousa Sampaio"
"2º Sem",9561,"EFis","Tópicos Avançados de Engenharia  Física","Programa Doutoral em Engenharia Física","Maria Adelaide de Almeida Pedro de Jesus","Maria Adelaide de Almeida Pedro de Jesus"
"2º Sem",9545,"EBiom","Tópicos Avançados de Engenharia Biomédica","Programa Doutoral em Engenharia Biomédica","Maria Adelaide de Almeida Pedro de Jesus","Maria Adelaide de Almeida Pedro de Jesus"
"2º Sem",9510,"Fis","Tópicos Avançados de Física","Programa Doutoral em Física","Fernando António de Freitas Costa Parente","Fernando António de Freitas Costa Parente"
"2º Sem",9859,"TAGTR","Tópicos Avançados em Gestão e Tratamento de Resíduos","Programa Doutoral em Ambiente","Ana Isabel Espinha da Silveira","Maria da Graça Madeira Martinho"
"2º Sem",7350,"TAPDI","Tópicos Avançados em Processamento Digital de Imagem","Mestrado em Engenharia Electrotécnica, Sistemas e Computadores","José Manuel Matos Ribeiro da Fonseca","Adolfo Sanchez Steiger Garção"
"2º Sem",7350,"TAPDI","Tópicos Avançados em Processamento Digital de Imagem","Mestrado Integrado em Engenharia Electrotécnica e de Computadores","José Manuel Matos Ribeiro da Fonseca","Adolfo Sanchez Steiger Garção"
"2º Sem",7613,"TEBM","Tópicos de Engenharia Biomédica","Mestrado Integrado em Engenharia Biomédica","Mário António Basto Forjaz Secca","Mário António Basto Forjaz Secca"
"2º Sem",7344,"TE","Tracção Eléctrica","Mestrado em Engenharia Electrotécnica, Sistemas e Computadores","João Francisco Alves Martins","Amadeu Leão Santos Rodrigues"
"2º Sem",7344,"TE","Tracção Eléctrica","Mestrado Integrado em Engenharia Electrotécnica e de Computadores","João Francisco Alves Martins","Amadeu Leão Santos Rodrigues"
"2º Sem",7135,"TBiol","Transporte Biológico: Aspectos Quantitativos","Mestrado em Bioquímica Estrutural e Funcional","Teresa Maria Fonseca de Moura","Teresa Maria Fonseca de Moura"
"2º Sem",7135,"TBiol","Transporte Biológico: Aspectos Quantitativos","Programa Doutoral em Bioquímica","Teresa Maria Fonseca de Moura","Teresa Maria Fonseca de Moura"
"2º Sem",7135,"TBiol","Transporte Biológico: Aspectos Quantitativos","Programa Doutoral em Química","Teresa Maria Fonseca de Moura","Teresa Maria Fonseca de Moura"
"2º Sem",2936,"TVER","Tratamentos e Valorização de Efluentes e Resíduos","Mestrado em Tecnologia e Segurança Alimentar","Nuno Carlos Lapa dos Santos Nunes","Benilde Simões Mendes"
"2º Sem",7490,"TTM","Tratamentos Térmicos e Mecânicos","Licenciatura em Engenharia de Materiais","Francisco Manuel Braz Fernandes","Francisco Manuel Braz Fernandes"
"2º Sem",5352,"UTA","Urbanismo, Transportes e Ambiente","Mestrado Integrado em Engenharia do Ambiente","João António Muralha Ribeiro Farinha","João António Muralha Ribeiro Farinha"
"2º Sem",5352,"UTA","Urbanismo, Transportes e Ambiente","Programa Doutoral em Avaliação de Tecnologia","João António Muralha Ribeiro Farinha","João António Muralha Ribeiro Farinha"
"2º Sem",8460,"VBR","Valorização de Biomassa e Resíduos","Mestrado em Energia e Bioenergia","Nuno Carlos Lapa dos Santos Nunes","Benilde Simões Mendes"
"2º Sem",3668,"VMR","Vibrações Mecânicas e Ruído","Mestrado Integrado em Engenharia Mecânica","António Paulo Vale Urgueira","António Paulo Vale Urgueira"
"2º Sem",8293,"WS","Web Semântica","Mestrado em Engenharia Informática","Carlos Augusto Isaac Piló Viegas Damásio","Pedro Manuel Corrêa Calvente Barahona"
"2º Sem",8293,"WS","Web Semântica","Mestrado em Lógica Computacional","Carlos Augusto Isaac Piló Viegas Damásio","Pedro Manuel Corrêa Calvente Barahona"
"2º Sem",8293,"WS","Web Semântica","Mestrado em Matemática e Aplicações","Carlos Augusto Isaac Piló Viegas Damásio","Pedro Manuel Corrêa Calvente Barahona"
"2º Tri",9211,"CCR","Classificação e Caracterização de Resíduos","Estudos Avançados em Engenharia Sanitária e Gestão Integrada de Resíduos","Ana Isabel Espinha da Silveira","Ana Isabel Espinha da Silveira"
"2º Tri",9332,"CC 2","Competências de Comunicação II","Programa Doutoral em Química Sustentável","Eurico José da Silva Cabrita","Eurico José da Silva Cabrita"
"2º Tri",9895,"GEA","Gestão de Energia e Ambiente","Estudos Avançados em Engenharia da Refinação, Petroquímica e Química","João Paulo Serejo Goulão Crespo","João Paulo Serejo Goulão Crespo"
"2º Tri",9895,"GEA","Gestão de Energia e Ambiente","Programa Doutoral em Engenharia  da  Refinação, Petroquímica e Química","João Paulo Serejo Goulão Crespo","João Paulo Serejo Goulão Crespo"
"2º Tri",9208,"HS","Hidráulica Sanitária","Estudos Avançados em Engenharia Sanitária e Gestão Integrada de Resíduos","João Maria Matos Lopes da Fonseca","António Pedro de Nobre Carmona Rodrigues"
"2º Tri",9207,"NBACES","Noções Básicas de Áreas Complementares em Engenharia Sanitária","Estudos Avançados em Engenharia Sanitária e Gestão Integrada de Resíduos","Maria Conceição Carrilho Raimundo dos Santos","António Manuel Fernandes Rodrigues"
"2º Tri",9210,"PCEE","Processos Construtivos e Equipamentos Electromecânicos","Estudos Avançados em Engenharia Sanitária e Gestão Integrada de Resíduos","José Manuel Leitão Sardinha","António Pedro de Nobre Carmona Rodrigues"
"2º Tri",9214,"RTR","Recolha e Transporte de Resíduos","Estudos Avançados em Engenharia Sanitária e Gestão Integrada de Resíduos","Artur João Lopes Cabeças","Maria da Graça Madeira Martinho"
"2º Tri",9213,"RPDS","Resíduos Perigosos e Descontaminação de Solos","Estudos Avançados em Engenharia Sanitária e Gestão Integrada de Resíduos","Alexandra de Jesus Branco Ribeiro","Ana Isabel Espinha da Silveira"
"3º Tri",9338,"CE","Competências de Empreendedorismo","Programa Doutoral em Química Sustentável","Manuel Luís Magalhães Nunes da Ponte","Manuel Luís Magalhães Nunes da Ponte"
"3º Tri",9339,"TA","Tópicos Avançados","Programa Doutoral em Química Sustentável","Maria Ascenção Carvalho Fernandes Miranda Reis","Maria Ascenção Carvalho Fernandes Miranda Reis"
"Anual",9078,"TAE","Tópicos Avançados em Electrónica","Programa Doutoral em Engenharia Electrotécnica e de Computadores","João Carlos Palma Goes",
"Anual",9080,"TAE","Tópicos Avançados em Energia","Programa Doutoral em Engenharia Electrotécnica e de Computadores","Mário Fernando Ventim Neves",
"Anual",9081,"TAPS","Tópicos Avançados em Processamento de Sinais","Programa Doutoral em Engenharia Electrotécnica e de Computadores","Manuel Duarte Ortigueira",
"Anual",9085,"TAT","Tópicos Avançados em Telecomunicações","Programa Doutoral em Engenharia Electrotécnica e de Computadores","Paulo da Costa Luís da Fonseca Pinto",
"1º Sem",9765,"BqA","Bioquímica dos Alimentos","Estudos Pós-Graduados em Ciências Gastronómicas","Isabel Borges Coutinho Medeiros Dias",
"1º Sem",7227,"CSD","Concepção de Sistemas Digitais","Licenciatura em Engenharia de Telecomunicações e Computadores","Luís Filipe Santos Gomes",
"1º Sem",7227,"CSD","Concepção de Sistemas Digitais","Mestrado em Engenharia Electrotécnica, Sistemas e Computadores","Luís Filipe Santos Gomes",
"1º Sem",7227,"CSD","Concepção de Sistemas Digitais","Mestrado em Engenharia Informática","Luís Filipe Santos Gomes",
"1º Sem",7227,"CSD","Concepção de Sistemas Digitais","Mestrado em Engenharia Microelectrónica e Nanotecnologias","Luís Filipe Santos Gomes",
"1º Sem",7227,"CSD","Concepção de Sistemas Digitais","Mestrado Integrado em Engenharia de Micro e Nanotecnologias","Luís Filipe Santos Gomes",
"1º Sem",7227,"CSD","Concepção de Sistemas Digitais","Mestrado Integrado em Engenharia Electrotécnica e de Computadores","Luís Filipe Santos Gomes",
"1º Sem",7227,"CSD","Concepção de Sistemas Digitais","Programa Doutoral em Nanotecnologias e Nanociências","Luís Filipe Santos Gomes",
"1º Sem",9771,"GPTP","Gastronomia e Produtos Tradicionais Portugueses","Ciências Gastronómicas","Maria Paulina Estorninho Neves da Mata Pereira",
"1º Sem",9771,"GPTP","Gastronomia e Produtos Tradicionais Portugueses","Estudos Pós-Graduados em Ciências Gastronómicas","Maria Paulina Estorninho Neves da Mata Pereira",
"1º Sem",9782,"GM I","Gastronomia Molecular I","Ciências Gastronómicas","Maria Paulina Estorninho Neves da Mata Pereira",
"1º Sem",9782,"GM I","Gastronomia Molecular I","Estudos Pós-Graduados em Ciências Gastronómicas","Maria Paulina Estorninho Neves da Mata Pereira",
"1º Sem",8424,"HA","Higrotérmica e Acústica","Mestrado em Engenharia Civil (Reabilitação de Edifícios)","Fernando Manuel Anjos Henriques",
"1º Sem",9769,"HA","História da Alimentação","Ciências Gastronómicas","Maria Paulina Estorninho Neves da Mata Pereira",
"1º Sem",9769,"HA","História da Alimentação","Estudos Pós-Graduados em Ciências Gastronómicas","Maria Paulina Estorninho Neves da Mata Pereira",
"1º Sem",9643,"IDH","Introdução à Dinâmica Holomorfa","Programa Doutoral em Matemática","Philippe Laurent Didier",
"1º Sem",9766,"MA","Microbiologia Alimentar","Estudos Pós-Graduados em Ciências Gastronómicas","Maria Paulina Estorninho Neves da Mata Pereira",
"1º Sem",9770,"PAPTR","Produção Alimentar e Processos de Trabalho em Restauração","Ciências Gastronómicas","Maria Paulina Estorninho Neves da Mata Pereira",
"1º Sem",9770,"PAPTR","Produção Alimentar e Processos de Trabalho em Restauração","Estudos Pós-Graduados em Ciências Gastronómicas","Maria Paulina Estorninho Neves da Mata Pereira",
"1º Sem",9767,"RTA","Reologia e Textura de Alimentos","Estudos Pós-Graduados em Ciências Gastronómicas","Maria Paulina Estorninho Neves da Mata Pereira",
"1º Sem",9772,"Sem. I","Seminários I","Estudos Pós-Graduados em Ciências Gastronómicas","Maria Paulina Estorninho Neves da Mata Pereira",
"1º Sem",9768,"TAS","Técnicas de Análise Sensorial","Estudos Pós-Graduados em Ciências Gastronómicas","Maria Paulina Estorninho Neves da Mata Pereira",
"2º Sem",9776,"AF","Alimentos Fermentados","Estudos Pós-Graduados em Ciências Gastronómicas","Maria Paulina Estorninho Neves da Mata Pereira",
"2º Sem",7651,"AE2","Análise de Estruturas II","Mestrado em Engenharia Civil (Reabilitação de Edifícios)","Mário Jorge Vicente da Silva",
"2º Sem",9379,"AE 2","Análise de Estruturas II","Mestrado Integrado em Engenharia Civil","Mário Jorge Vicente da Silva",
"2º Sem",8909,"DissGMB","Dissertação em Genética Molecular e Biomedicina","Mestrado em Genética Molecular e Biomedicina","Ilda Maria Barros dos Santos Gomes Sanches",
"2º Sem",9639,"EDIB","Equações Diferenciais e Integrais em Biologia","Programa Doutoral em Matemática","Fábio Augusto da Costa Carvalho Chalub",
"2º Sem",9917,"HMCE","Heterogeneous Many-Core Environments","Programa Doutoral em Informática","Pedro Abílio Duarte de Medeiros",
"2º Sem",9780,"MGast","Marketing da Gastronomia","Estudos Pós-Graduados em Ciências Gastronómicas","Maria Paulina Estorninho Neves da Mata Pereira",
"2º Sem",9779,"NFND","Noções de Fisiologia, Nutrição e Dietética","Estudos Pós-Graduados em Ciências Gastronómicas","Maria Paulina Estorninho Neves da Mata Pereira",
"2º Sem",9778,"VGast","O Vinho na Gastronomia","Estudos Pós-Graduados em Ciências Gastronómicas","Maria Paulina Estorninho Neves da Mata Pereira",
"2º Sem",9378,"SE","Segurança Estrutural","Mestrado Integrado em Engenharia Civil","Luís Armando Canhoto Neves",
"2º Sem",7616,"TPSIG","Topografia e Sistemas de Informação Geográfica","Mestrado Integrado em Engenharia Civil","Rui Alexandre Lopes Baltazar Micaelo",
"2º Sem",9646,"TLM","Tópicos de Lógica Matemática","Programa Doutoral em Matemática","Isabel Maria Oitavem Fonseca da Rocha",
"2º Sem",9382,"Trans.","Transportes","Mestrado Integrado em Engenharia Civil","Luís Manuel Trindade Quaresma",
"2º Tri",9894,"EPS","Engenharia de Processos e Sistemas","Estudos Avançados em Engenharia da Refinação, Petroquímica e Química","João Paulo Serejo Goulão Crespo",
"2º Tri",9894,"EPS","Engenharia de Processos e Sistemas","Programa Doutoral em Engenharia  da  Refinação, Petroquímica e Química","João Paulo Serejo Goulão Crespo",
"Anual",9609,"DEFQ","Dissertação em Ensino de Física e Química","Mestrado em Ensino de Física e de Química",,"Vítor Manuel Neves Duarte Teodoro"
"Anual",9485,"Tes. EI","Tese em Engenharia Industrial","Programa Doutoral em Engenharia Industrial",,"Zulema Paula do Perpétuo Socorro Lopes Pereira"
"Anual",9572,"EM","Tese em Engenharia Mecânica","Programa Doutoral em Engenharia Mecânica",,"António Paulo Vale Urgueira"
"Anual",9563,"T (QA)","Tese em Qualidade Alimentar","Programa Doutoral em Qualidade  Alimentar",,"Benilde Simões Mendes"
"1º Sem",5243,"ADSA","Análise de Dados e Simulação em Ambiente","Mestrado Integrado em Engenharia do Ambiente",,"António da Nóbrega de Sousa da Câmara"
"1º Sem",1055,"AEO","Análise e Organização do Espaço","Estudos Avançados em Território, Ambiente e Desenvolvimento Sustentável",,"José Carlos Ribeiro Ferreira"
"1º Sem",7187,"AAE","Avaliação Ambiental Estratégica","Mestrado Integrado em Engenharia do Ambiente",,"Tomás Augusto Barros Ramos"
"1º Sem",8473,"AQA","Avaliação da Qualidade da Água","Mestrado em Engenharia e Gestão da Água",,"Maria Conceição Carrilho Raimundo dos Santos"
"1º Sem",8662,"CG","Caracterização Geotécnica","Estudos Pós-Graduados em Geotecnia para Engenharia Civil",,"Maria Teresa Teles Grilo Santana"
"1º Sem",9480,"CPT","Concepção do Plano da Tese","Programa Doutoral em Engenharia Industrial",,"Virgílio António da Cruz Machado"
"1º Sem",1216,"CQ","Controlo da Qualidade","Licenciatura em Química Aplicada",,"Maria Teresa Barros Silva"
"1º Sem",3848,"DG","Desenho Geral","Mestrado Integrado em Engenharia do Ambiente",,"António Luís Moreira de Carvalho Perestrelo"
"1º Sem",8751,"Dt","Dissertação","Mestrado em Ensino da Matemática",,"Maria Helena Coutinho Gomes Almeida Santos"
"1º Sem",8891,"DissBt","Dissertação em Biotecnologia","Mestrado em Biotecnologia",,"Susana Filipe Barreiros"
"1º Sem",9389,"DissCons","Dissertação em Construção","Estudos Gerais",,"Fernando Manuel Anjos Henriques"
"1º Sem",9389,"DissCons","Dissertação em Construção","Mestrado Integrado em Engenharia Civil",,"Fernando Manuel Anjos Henriques"
"1º Sem",8894,"DissEBio","Dissertação em Energia e Bioenergia","Mestrado em Energia e Bioenergia",,"Benilde Simões Mendes"
"1º Sem",8898,"DissRE","Dissertação em Engenharia Civil (Reabilitação de Edifícios)","Mestrado em Engenharia Civil (Reabilitação de Edifícios)",,"Fernando Manuel Anjos Henriques"
"1º Sem",9425,"DisESold","Dissertação em Engenharia da Soldadura","Mestrado em Engenharia da Soldadura",,"Rosa Maria Mendes Miranda"
"1º Sem",8903,"DissEGr","Dissertação em Engenharia Geológica (Georrecursos)","Mestrado em Engenharia Geológica (Georrecursos)",,"José António de Almeida"
"1º Sem",8904,"DissEGGt","Dissertação em Engenharia Geológica (Geotecnia)","Mestrado em Engenharia Geológica (Geotecnia)",,"Ana Paula Fernandes da Silva"
"1º Sem",9392,"DissEstr","Dissertação em Estruturas","Estudos Gerais",,"Manuel Américo de Jesus Gonçalves da Silva"
"1º Sem",9392,"DissEstr","Dissertação em Estruturas","Mestrado Integrado em Engenharia Civil",,"Manuel Américo de Jesus Gonçalves da Silva"
"1º Sem",9072,"DissMA","Dissertação em Matemática e Aplicações","Mestrado em Matemática e Aplicações",,"Maria Luísa Martins Macedo de Faria Mascarenhas"
"1º Sem",8910,"DissTSA","Dissertação em Tecnologia e Segurança Alimentar","Mestrado em Tecnologia e Segurança Alimentar",,"Benilde Simões Mendes"
"1º Sem",8472,"EcAg","Economia da Água","Mestrado em Engenharia e Gestão da Água",,"Rui Jorge Fernandes Ferreira Santos"
"1º Sem",8631,"ERCT","Economia Regional e Competitividade Territorial","Estudos Avançados em Território, Ambiente e Desenvolvimento Sustentável",,"João António Muralha Ribeiro Farinha"
"1º Sem",8633,"GREA","Gestão de Recursos e Economia Ambiental","Estudos Avançados em Território, Ambiente e Desenvolvimento Sustentável",,"Tomás Augusto Barros Ramos"
"1º Sem",8475,"HFAH","Hidráulica Fluvial e Aproveitamentos Hidráulicos","Mestrado em Engenharia e Gestão da Água",,"António Pedro de Nobre Carmona Rodrigues"
"1º Sem",7181,"HU","Hidráulica Urbana","Mestrado Integrado em Engenharia do Ambiente",,"David José Fonseca Pereira"
"1º Sem",8665,"MNG","Métodos Numéricos em Geotecnia","Estudos Pós-Graduados em Geotecnia para Engenharia Civil",,"Maria Teresa Teles Grilo Santana"
"1º Sem",7275,"ME","Modelação Ecológica","Mestrado Integrado em Engenharia do Ambiente",,"João Pedro Salgueiro Gomes Ferreira"
"1º Sem",8471,"MH","Modelação Hidrológica","Mestrado em Engenharia e Gestão da Água",,"António Pedro de Nobre Carmona Rodrigues"
"1º Sem",8804,"ProjBiot","Projecto de Biotecnologia","Estudos Gerais",,"João Montargil Aires de Sousa"
"1º Sem",7557,"PINV.2","Projecto de Investigação 2","Mestrado em Ciências da  Conservação",,"Maria João Seixas de Melo"
"1º Sem",9443,"PT (EG)","Projecto de Tese (EG)","Programa Doutoral em Engenharia Geológica",,"Rogério Eduardo Bordalo da Rocha"
"1º Sem",9440,"PT (G)","Projecto de Tese (G)","Programa Doutoral em Geologia",,"João José Cardoso Pais"
"1º Sem",9763,"PT(QA) 1","Projecto de Tese em Qualidade Alimentar I","Programa Doutoral em Qualidade  Alimentar",,"Benilde Simões Mendes"
"1º Sem",9565,"PT(EB) 1","Projecto de Tese I","Programa Doutoral em Energia e Bioenergia",,"Benilde Simões Mendes"
"1º Sem",8889,"QM","Química Medicinal","Mestrado em Bioorgânica",,"Pedro Jorge Macedo de Abreu"
"1º Sem",8889,"QM","Química Medicinal","Programa Doutoral em Química",,"Pedro Jorge Macedo de Abreu"
"1º Sem",7574,"SAUP","Saúde Pública","Mestrado em Genética Molecular e Biomedicina",,"Ilda Maria Barros dos Santos Gomes Sanches"
"1º Sem",8666,"SG","Segurança em Geotecnia","Estudos Pós-Graduados em Geotecnia para Engenharia Civil",,"Maria Teresa Teles Grilo Santana"
"1º Sem",8688,"SAT 1","Seminário de Aprofundamento Temático I","Programa Doutoral em Ciências da Educação",,"Vítor Manuel Neves Duarte Teodoro"
